Date,AAPL,MSFT,GOOG,AMZN,NVDA,META,TSLA,PEP,AVGO,COST,CSCO,ADBE,NFLX,TMUS,TXN,CMCSA,QCOM,INTC,HON,AMD,AMGN,INTU,ISRG,BKNG,MDLZ,ADI,LRCX,VRTX,MU,AMAT,SBUX,GILD,ADP,PANW,CSX,REGN,MNST,KLAC,MAR,NXPI,ORLY,ADSK,MCHP,AEP,KDP,SNPS,FTNT,IDXX,LULU,EXC,CTAS,PAYX,XEL,PCAR,ODFL,VRSK,WBA,CDNS,AZN,DLTR,EBAY,BIIB,ROST,CHTR,FAST,ANSS,MRVL,WDAY,BKR,VRSN,CTSH,SWKS,EA,BIDU,ALGN,MELI,JD,NTES,ASML,DXCM,CPRT
2000-01-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-31 00:00:00+00:00,,,,,1.0,,,26.0,,,22.0,5.0,,,9.0,,,19.0,,2.0,,,,,,6.0,,4.0,3.0,15.0,14.0,,28.0,,,7.0,,,27.0,,,16.0,13.0,30.0,,,,11.0,,24.0,18.0,20.0,29.0,,,,33.0,,31.0,23.0,,,17.0,,10.0,25.0,,,12.0,,21.0,8.0,,,,,,,32.0,,
2000-06-30 00:00:00+00:00,,,,,1.0,,,6.0,,,21.0,5.0,,,18.0,,,20.0,,3.0,,,,,,8.0,,11.0,2.0,29.0,25.0,,13.0,,,15.0,,,10.0,,,24.0,31.0,22.0,,,,19.0,,26.0,9.0,12.0,16.0,,,,,,7.0,4.0,,,27.0,,17.0,23.0,,,14.0,,28.0,30.0,,,,,,,,,
2000-07-31 00:00:00+00:00,,,,,,,,8.0,,,,3.0,,,,,,11.0,,4.0,,,,,,,,1.0,5.0,,18.0,,7.0,,,,,,6.0,,,,,15.0,,,,,,14.0,13.0,2.0,10.0,,,,,,9.0,12.0,,,,,17.0,,,,16.0,,,,,,,,,,,,
2000-08-31 00:00:00+00:00,,,,,,,,11.0,,,,,,,,,,10.0,,,,,2.0,,,,,1.0,6.0,,,,,,,,,,8.0,,,,,,,,,,,7.0,12.0,5.0,3.0,,,,4.0,,,,,,,,,,,,9.0,,,,,,,,,,,,
2000-09-30 00:00:00+00:00,,,,,10.0,,,,,,,,,,,,,,,,,1.0,5.0,,,,,3.0,,,,4.0,7.0,,,,13.0,,14.0,,,,,,,,,,,6.0,,,9.0,,,,12.0,11.0,,,,2.0,,,,,8.0,,16.0,,,,15.0,,,,,,,,
2000-10-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,2.0,,,8.0,,,,11.0,,6.0,,,,16.0,10.0,,,,14.0,,,,,,,7.0,,,,,,5.0,,,15.0,,,,3.0,4.0,,,,1.0,,,,,13.0,,12.0,,,,9.0,,,,,,,,
